ID,NodeType,OStation,LineID,TrainCode,Station,TimeCode,SuperPointID,SuperPointTypr,PrevNodeID,DriveTime,DayCrewTime,Lunch,Dinner,PassLines,PassStateNodes
0,0,A,-1,,A,0,9,3,-1,0,0,0,0,[Empty],[0]
2,0,B,-1,,B,0,11,3,-1,0,0,0,0,[Empty],[2]
4,31,A,0,Train_1,A,500,1,1,0,0,0,0,0,[Empty],[0-4]
5,1,A,1,Train_1,B,600,2,2,4,100,100,0,0,[1],[0-4-5]
6,31,B,0,Train_3,B,630,5,1,2,0,0,0,0,[Empty],[2-6]
7,21,A,1,Train_1,B,630,5,1,5,0,130,0,0,[1],[0-4-5-7]
8,1,A,3,Train_3,C,700,6,2,7,70,200,0,0,[1-3],[0-4-5-7-8]
9,1,B,3,Train_3,C,700,6,2,6,70,70,0,0,[3],[2-6-9]
10,21,A,3,Train_3,C,760,7,1,8,0,260,2,0,[1-3],[0-4-5-7-8-10]
11,21,B,3,Train_3,C,760,7,1,9,0,130,2,0,[3],[2-6-9-11]
12,1,B,4,Train_4,B,830,8,2,11,70,200,2,0,[3-4],[2-6-9-11-12]
13,1,A,4,Train_4,B,830,8,2,10,70,330,2,0,[1-3-4],[0-4-5-7-8-10-13]
14,21,A,4,Train_4,B,850,3,1,13,0,350,2,0,[1-3-4],[0-4-5-7-8-10-13-14]
15,21,A,1,Train_1,B,850,3,1,5,0,350,2,0,[1],[0-4-5-15]
16,1,A,2,Train_2,A,950,4,2,14,100,450,2,0,[1-3-4-2],[0-4-5-7-8-10-13-14-16]
17,1,A,2,Train_2,A,950,4,2,15,100,450,2,0,[1-2],[0-4-5-15-17]
3,33,B,0,,B,1440,12,4,2,0,0,2,0,[Empty],[2-3]
1,33,A,0,,A,1440,10,4,0,0,0,2,0,[Empty],[0-1]
1,32,A,0,Train_2,A,1440,10,4,17,100,450,2,0,[1-2],[0-4-5-15-17-1]
3,32,B,0,Train_4,B,1440,12,4,12,70,200,2,0,[3-4],[2-6-9-11-12-3]
1,32,A,0,Train_2,A,1440,10,4,16,100,450,2,0,[1-3-4-2],[0-4-5-7-8-10-13-14-16-1]
