交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,1,C2001,361,396,北京南,天津
1,158,C2614,412,447,天津,北京南
1,7,C2015,466,501,北京南,天津
1,86,C2014,518,553,天津,北京南
2,2,C2003,374,409,北京南,天津
2,82,C2006,435,470,天津,北京南
2,52,C2205,488,529,北京南,天津
2,87,C2016,547,582,天津,北京南
3,3,C2005,387,422,北京南,天津
3,130,C2206,448,489,天津,北京南
3,9,C2019,507,542,北京南,天津
3,152,C2584,563,598,天津,北京南
4,4,C2009 +,411,446,北京南,天津
4,83,C2008,482,517,天津,北京南
4,53,C2207,532,573,北京南,天津
4,88,C2018,591,626,天津,北京南
5,11,C2025,548,583,北京南,天津
5,89,C2022,602,637,天津,北京南
5,19,C2041,672,707,北京南,天津
5,96,C2038,733,768,天津,北京南
6,14,C2031,577,612,北京南,天津
6,90,C2024 +,629,664,天津,北京南
6,21,C2045 +,690,725,北京南,天津
6,153,C2586,745,780,天津,北京南
7,16,C2035,608,643,北京南,天津
7,93,C2030,674,709,天津,北京南
7,56,C2215,726,767,北京南,天津
7,99,C2044 +,782,817,天津,北京南
8,17,C2037,640,675,北京南,天津
8,137,C2220,700,741,天津,北京南
8,25,C2053,770,805,北京南,天津
8,139,C2224,830,871,天津,北京南
9,18,C2039,648,683,北京南,天津
9,95,C2034,715,750,天津,北京南
9,58,C2219,780,821,北京南,天津
9,102,C2050,846,881,天津,北京南
10,20,C2043,678,713,北京南,天津
10,97,C2040,739,774,天津,北京南
10,75,C2587,798,833,北京南,天津
10,140,C2226,869,910,天津,北京南
11,24,C2051,743,778,北京南,天津
11,100,C2046,795,830,天津,北京南
11,27,C2059 +,858,893,北京南,天津
11,105,C2058 +,917,952,天津,北京南
12,26,C2057,832,867,北京南,天津
12,141,C2228,893,934,天津,北京南
12,62,C2227,950,991,北京南,天津
12,109,C2066,1026,1061,天津,北京南
13,28,C2061,880,915,北京南,天津
13,106,C2060,931,966,天津,北京南
13,33,C2073,992,1027,北京南,天津
13,146,C2238,1067,1108,天津,北京南
14,29,C2063,889,924,北京南,天津
14,142,C2230,939,980,天津,北京南
14,34,C2075 +,1001,1036,北京南,天津
14,110,C2070,1061,1096,天津,北京南
15,30,C2065,900,935,北京南,天津
15,143,C2232,969,1010,天津,北京南
15,64,C2231,1029,1070,北京南,天津
15,157,C2598,1090,1125,天津,北京南
16,31,C2067,932,967,北京南,天津
16,144,C2234,993,1034,天津,北京南
16,66,C2235,1072,1113,北京南,天津
16,148,C2242,1139,1180,天津,北京南
17,35,C2079,1043,1078,北京南,天津
17,147,C2240,1103,1144,天津,北京南
17,41,C2091,1182,1217,北京南,天津
17,156,C2594,1246,1281,天津,北京南
18,37,C2083,1094,1129,北京南,天津
18,114,C2080,1157,1192,天津,北京南
18,43,C2095,1208,1243,北京南,天津
18,150,C2246,1271,1312,天津,北京南
19,39,C2087,1132,1167,北京南,天津
19,149,C2244,1195,1236,天津,北京南
19,71,C2245,1256,1297,北京南,天津
19,125,C2102,1323,1358,天津,北京南
20,40,C2089 +,1146,1181,北京南,天津
20,117,C2086,1209,1244,天津,北京南
20,44,C2097,1267,1302,北京南,天津
20,151,C2580,1340,1375,天津,北京南
21,42,C2093,1194,1229,北京南,天津
21,120,C2092,1254,1289,天津,北京南
21,46,C2101,1310,1345,北京南,天津
21,127,C2108,1372,1407,天津,北京南
22,50,C2201,392,433,北京南,天津
22,130,C2206,448,489,天津,北京南
22,9,C2019,507,542,北京南,天津
22,152,C2584,563,598,天津,北京南
23,51,C2203,451,492,北京南,天津
23,132,C2210,531,572,天津,北京南
23,15,C2033,600,635,北京南,天津
23,92,C2028,665,700,天津,北京南
24,61,C2225,912,953,北京南,天津
24,107,C2062,983,1018,天津,北京南
24,35,C2079,1043,1078,北京南,天津
24,112,C2076,1095,1130,天津,北京南
25,65,C2233,1051,1092,北京南,天津
25,113,C2078,1124,1159,天津,北京南
25,42,C2093,1194,1229,北京南,天津
25,121,C2094,1263,1298,天津,北京南
26,68,C2239,1166,1207,北京南,天津
26,119,C2090,1231,1266,天津,北京南
26,45,C2099,1286,1321,北京南,天津
26,126,C2106,1353,1388,天津,北京南
27,72,C2581,443,478,北京南,天津
27,85,C2012,503,538,天津,北京南
27,12,C2027 +,557,592,北京南,天津
27,135,C2216,614,655,天津,北京南
28,74,C2585,627,662,北京南,天津
28,94,C2032,695,730,天津,北京南
28,57,C2217,752,793,北京南,天津
28,101,C2048,818,853,天津,北京南
29,78,C2595,403,438,北京南,天津
29,131,C2208,464,505,天津,北京南
29,73,C2583,524,559,北京南,天津
29,134,C2214,577,618,天津,北京南
30,79,C2597,1009,1044,北京南,天津
30,111,C2072 +,1081,1116,天津,北京南
30,40,C2089 +,1146,1181,北京南,天津
30,118,C2088 +,1219,1254,天津,北京南
31,80,C2002,365,400,天津,北京南
31,5,C2011,423,458,北京南,天津
31,84,C2010 +,491,526,天津,北京南
31,10,C2023,543,578,北京南,天津
32,81,C2004,380,415,天津,北京南
32,6,C2013,433,468,北京南,天津
32,85,C2012,503,538,天津,北京南
32,13,C2029,565,600,北京南,天津
33,91,C2026,639,674,天津,北京南
33,22,C2047,702,737,北京南,天津
33,98,C2042,756,791,天津,北京南
33,59,C2221,820,861,北京南,天津
34,103,C2054,887,922,天津,北京南
34,32,C2069,945,980,北京南,天津
34,108,C2064,1005,1040,天津,北京南
34,36,C2081,1065,1100,北京南,天津
35,104,C2056,905,940,天津,北京南
35,63,C2229,968,1009,北京南,天津
35,155,C2590,1038,1073,天津,北京南
35,67,C2237,1108,1149,北京南,天津
36,114,C2080,1157,1192,天津,北京南
36,69,C2241,1215,1256,北京南,天津
36,122,C2096,1287,1322,天津,北京南
36,47,C2103,1338,1373,北京南,天津
37,115,C2082,1170,1205,天津,北京南
37,77,C2593,1226,1261,北京南,天津
37,123,C2098,1299,1334,天津,北京南
37,48,C2105,1363,1398,北京南,天津
38,116,C2084,1178,1213,天津,北京南
38,70,C2243,1234,1275,北京南,天津
38,124,C2100,1313,1348,天津,北京南
38,49,C2107,1385,1420,北京南,天津
39,128,C2202,398,439,天津,北京南
39,7,C2015,466,501,北京南,天津
39,86,C2014,518,553,天津,北京南
39,54,C2209,585,626,北京南,天津
40,129,C2204,420,461,天津,北京南
40,8,C2017,499,534,北京南,天津
40,133,C2212,552,593,天津,北京南
40,55,C2211,616,657,北京南,天津
41,136,C2218,647,688,天津,北京南
41,23,C2049,714,749,北京南,天津
41,138,C2222,767,808,天津,北京南
41,60,C2223,842,883,北京南,天津
42,154,C2588,925,960,天津,北京南
42,76,C2589,979,1014,北京南,天津
42,145,C2236,1043,1084,天津,北京南
42,38,C2085,1120,1155,北京南,天津
