交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,1,C2001,361,396,北京南,天津
1,158,C2614,412,447,天津,北京南
1,7,C2015,466,501,北京南,天津
1,86,C2014,518,553,天津,北京南
2,91,C2026,639,674,天津,北京南
2,21,C2045 +,690,725,北京南,天津
2,153,C2586,745,780,天津,北京南
2,75,C2587,798,833,北京南,天津
3,81,C2004,380,415,天津,北京南
3,6,C2013,433,468,北京南,天津
3,84,C2010 +,491,526,天津,北京南
3,10,C2023,543,578,北京南,天津
4,38,C2085,1120,1155,北京南,天津
4,115,C2082,1170,1205,天津,北京南
4,77,C2593,1226,1261,北京南,天津
4,122,C2096,1287,1322,天津,北京南
5,149,C2244,1195,1236,天津,北京南
5,71,C2245,1256,1297,北京南,天津
5,124,C2100,1313,1348,天津,北京南
5,48,C2105,1363,1398,北京南,天津
6,154,C2588,925,960,天津,北京南
6,76,C2589,979,1014,北京南,天津
6,155,C2590,1038,1073,天津,北京南
6,37,C2083,1094,1129,北京南,天津
7,50,C2201,392,433,北京南,天津
7,130,C2206,448,489,天津,北京南
7,9,C2019,507,542,北京南,天津
7,152,C2584,563,598,天津,北京南
8,29,C2063,889,924,北京南,天津
8,142,C2230,939,980,天津,北京南
8,34,C2075 +,1001,1036,北京南,天津
8,110,C2070,1061,1096,天津,北京南
9,144,C2234,993,1034,天津,北京南
9,65,C2233,1051,1092,北京南,天津
9,113,C2078,1124,1159,天津,北京南
9,41,C2091,1182,1217,北京南,天津
10,147,C2240,1103,1144,天津,北京南
10,41,C2091,1182,1217,北京南,天津
10,120,C2092,1254,1289,天津,北京南
10,46,C2101,1310,1345,北京南,天津
11,24,C2051,743,778,北京南,天津
11,100,C2046,795,830,天津,北京南
11,27,C2059 +,858,893,北京南,天津
11,105,C2058 +,917,952,天津,北京南
12,12,C2027 +,557,592,北京南,天津
12,135,C2216,614,655,天津,北京南
12,20,C2043,678,713,北京南,天津
12,96,C2038,733,768,天津,北京南
13,60,C2223,842,883,北京南,天津
13,104,C2056,905,940,天津,北京南
13,63,C2229,968,1009,北京南,天津
13,145,C2236,1043,1084,天津,北京南
14,54,C2209,585,626,北京南,天津
14,136,C2218,647,688,天津,北京南
14,23,C2049,714,749,北京南,天津
14,138,C2222,767,808,天津,北京南
15,28,C2061,880,915,北京南,天津
15,106,C2060,931,966,天津,北京南
15,33,C2073,992,1027,北京南,天津
15,146,C2238,1067,1108,天津,北京南
16,74,C2585,627,662,北京南,天津
16,94,C2032,695,730,天津,北京南
16,57,C2217,752,793,北京南,天津
16,101,C2048,818,853,天津,北京南
17,66,C2235,1072,1113,北京南,天津
17,148,C2242,1139,1180,天津,北京南
17,43,C2095,1208,1243,北京南,天津
17,121,C2094,1263,1298,天津,北京南
18,3,C2005,387,422,北京南,天津
18,130,C2206,448,489,天津,北京南
18,9,C2019,507,542,北京南,天津
18,152,C2584,563,598,天津,北京南
19,73,C2583,524,559,北京南,天津
19,134,C2214,577,618,天津,北京南
19,17,C2037,640,675,北京南,天津
19,137,C2220,700,741,天津,北京南
20,67,C2237,1108,1149,北京南,天津
20,116,C2084,1178,1213,天津,北京南
20,70,C2243,1234,1275,北京南,天津
20,123,C2098,1299,1334,天津,北京南
21,72,C2581,443,478,北京南,天津
21,85,C2012,503,538,天津,北京南
21,13,C2029,565,600,北京南,天津
21,90,C2024 +,629,664,天津,北京南
22,80,C2002,365,400,天津,北京南
22,5,C2011,423,458,北京南,天津
22,83,C2008,482,517,天津,北京南
22,53,C2207,532,573,北京南,天津
23,129,C2204,420,461,天津,北京南
23,52,C2205,488,529,北京南,天津
23,87,C2016,547,582,天津,北京南
23,15,C2033,600,635,北京南,天津
24,51,C2203,451,492,北京南,天津
24,132,C2210,531,572,天津,北京南
24,16,C2035,608,643,北京南,天津
24,92,C2028,665,700,天津,北京南
25,11,C2025,548,583,北京南,天津
25,89,C2022,602,637,天津,北京南
25,19,C2041,672,707,北京南,天津
25,97,C2040,739,774,天津,北京南
26,26,C2057,832,867,北京南,天津
26,141,C2228,893,934,天津,北京南
26,62,C2227,950,991,北京南,天津
26,109,C2066,1026,1061,天津,北京南
27,68,C2239,1166,1207,北京南,天津
27,119,C2090,1231,1266,天津,北京南
27,45,C2099,1286,1321,北京南,天津
27,126,C2106,1353,1388,天津,北京南
28,61,C2225,912,953,北京南,天津
28,143,C2232,969,1010,天津,北京南
28,64,C2231,1029,1070,北京南,天津
28,157,C2598,1090,1125,天津,北京南
29,2,C2003,374,409,北京南,天津
29,82,C2006,435,470,天津,北京南
29,8,C2017,499,534,北京南,天津
29,133,C2212,552,593,天津,北京南
30,40,C2089 +,1146,1181,北京南,天津
30,118,C2088 +,1219,1254,天津,北京南
30,45,C2099,1286,1321,北京南,天津
30,151,C2580,1340,1375,天津,北京南
31,95,C2034,715,750,天津,北京南
31,25,C2053,770,805,北京南,天津
31,139,C2224,830,871,天津,北京南
31,30,C2065,900,935,北京南,天津
32,31,C2067,932,967,北京南,天津
32,107,C2062,983,1018,天津,北京南
32,35,C2079,1043,1078,北京南,天津
32,112,C2076,1095,1130,天津,北京南
33,128,C2202,398,439,天津,北京南
33,7,C2015,466,501,北京南,天津
33,86,C2014,518,553,天津,北京南
33,14,C2031,577,612,北京南,天津
34,140,C2226,869,910,天津,北京南
34,32,C2069,945,980,北京南,天津
34,108,C2064,1005,1040,天津,北京南
34,36,C2081,1065,1100,北京南,天津
35,4,C2009 +,411,446,北京南,天津
35,83,C2008,482,517,天津,北京南
35,53,C2207,532,573,北京南,天津
35,88,C2018,591,626,天津,北京南
36,78,C2595,403,438,北京南,天津
36,131,C2208,464,505,天津,北京南
36,73,C2583,524,559,北京南,天津
36,134,C2214,577,618,天津,北京南
37,42,C2093,1194,1229,北京南,天津
37,156,C2594,1246,1281,天津,北京南
37,46,C2101,1310,1345,北京南,天津
37,127,C2108,1372,1407,天津,北京南
38,18,C2039,648,683,北京南,天津
38,95,C2034,715,750,天津,北京南
38,58,C2219,780,821,北京南,天津
38,102,C2050,846,881,天津,北京南
39,22,C2047,702,737,北京南,天津
39,98,C2042,756,791,天津,北京南
39,59,C2221,820,861,北京南,天津
39,103,C2054,887,922,天津,北京南
40,55,C2211,616,657,北京南,天津
40,93,C2030,674,709,天津,北京南
40,56,C2215,726,767,北京南,天津
40,99,C2044 +,782,817,天津,北京南
41,117,C2086,1209,1244,天津,北京南
41,44,C2097,1267,1302,北京南,天津
41,125,C2102,1323,1358,天津,北京南
41,49,C2107,1385,1420,北京南,天津
42,142,C2230,939,980,天津,北京南
42,79,C2597,1009,1044,北京南,天津
42,111,C2072 +,1081,1116,天津,北京南
42,39,C2087,1132,1167,北京南,天津
43,114,C2080,1157,1192,天津,北京南
43,69,C2241,1215,1256,北京南,天津
43,150,C2246,1271,1312,天津,北京南
43,47,C2103,1338,1373,北京南,天津
