交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,316,G9311/2,1128,1266,上海,衢州
1,254,G9312,1286,1407,衢州,上海
2,211,DJ7731,291,445,杭州,温州南
2,212,G7568,480,637,温州南,杭州
3,342,D9522/3,600,774,南京,南通
3,343,D9524/1,853,1014,南通,南京
4,121,G7240/1,654,883,上海,六安
4,122,G7242/39,925,1151,六安,上海
5,163,G7248/9,794,979,上海,合肥
5,142,G7166/3,1038,1225,合肥,上海
6,310,G9232/3,385,597,上海,铜陵
6,311,G9234/1,615,800,铜陵,上海
7,40,G7276/7/6,852,1079,上海,淮南东
7,41,G7275/8/5,1128,1318,淮南东,上海
8,221,G7566/3,826,1086,合肥,杭州
8,150,G7652/3,1121,1271,杭州,合肥
9,103,G7127,800,936,南京,上海
9,46,G7054,980,1100,上海,南京
10,344,D9526/7,1037,1186,南京,南通
10,345,D9528/5,1209,1357,南通,南京
11,314,G9246/7,921,1163,上海,安庆
11,315,G9248/5,1182,1404,安庆,上海
12,145,G7266/3,872,1046,合肥,上海
12,323,G9406/7,1089,1276,上海,合肥
13,138,G7132/3,581,813,上海,安庆
13,139,G7146/3,832,1073,安庆,上海
14,190,G7501,410,687,上海,苍南
14,156,G7322,728,944,苍南,上海
15,124,G7072/3,348,611,上海,安庆
15,125,G7134/1,632,870,安庆,上海
16,228,G7393/2,454,661,南京,上海
16,84,G7108,700,824,上海,南京
17,157,G7345,780,942,杭州,苍南
17,262,G7538,1004,1223,苍南,杭州
18,59,G7039,434,554,南京,上海
18,60,G7040,594,712,上海,南京
19,100,G7252/3,944,1077,上海,合肥
19,101,G7254/1,1103,1288,合肥,上海
20,223,G7507,496,728,南京,宁波
20,148,G7608,778,947,宁波,南京
21,257,G7519,952,1075,上海,宁波
21,258,G7524,1094,1217,宁波,上海
22,127,G7088/9,774,1014,上海,安庆
22,128,G7090/87,1034,1268,安庆,上海
23,24,G7019,960,1060,南京,上海
23,229,G7391/4,1098,1304,上海,南京
24,87,G7105,518,644,南京,上海
24,88,G7106,665,778,上海,南京
25,29,G7034,414,559,上海,南京
25,30,G7047,609,727,南京,上海
26,47,G7097,1120,1244,南京,上海
26,58,G7030,1260,1379,上海,南京
27,322,G9408/5,913,1064,合肥,上海
27,140,G7156/7,1106,1330,上海,合肥
28,90,G7116,974,1095,上海,南京
28,134,G7099,1125,1257,南京,上海
29,89,G7115,810,932,南京,上海
29,123,G7064,975,1100,上海,南京
30,129,G7080/1,464,712,上海,安庆
30,130,G7138/5,743,982,安庆,上海
31,57,G7065,1092,1220,南京,上海
31,165,G7070,1240,1360,上海,南京
32,244,G7463,1069,1217,杭州,温州南
32,245,G7466,1233,1370,温州南,杭州
33,96,G7148/9,815,982,上海,芜湖
33,97,G7288/5,1017,1207,芜湖,上海
34,120,G7228/5,480,612,合肥,上海
34,117,G7236/7,640,819,上海,合肥
35,253,G9311,1128,1266,上海,衢州
35,317,G9312/2,1286,1407,衢州,上海
36,118,G7238/5,840,1031,合肥,上海
