交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,178,G7304,690,759,杭州,上海
1,179,G7305,810,876,上海,杭州
1,180,G7308,892,951,杭州,上海
1,123,G7064,975,1100,上海,南京
1,158,G7603,1130,1218,南京,杭州
2,218,DJ7725,287,333,上海,杭州
2,202,G7327,381,406,杭州,诸暨
2,203,G7328,423,448,诸暨,杭州
2,196,G7302,478,543,杭州,上海
3,222,DJ7698,306,374,上海,南京
3,49,G7037,400,538,南京,上海
3,50,G7202,557,610,上海,无锡
3,51,G7201,630,691,无锡,上海
4,289,D5641,420,463,南京,芜湖
4,290,D5642,482,525,芜湖,南京
4,291,D5601,545,665,南京,安庆
4,292,D5604,688,808,安庆,南京
5,32,G7059,905,1019,南京,上海
5,76,G7208,1041,1075,上海,苏州
5,77,G7207,1106,1147,苏州,上海
5,14,G7028,1200,1299,上海,南京
6,59,G7039,434,554,南京,上海
6,197,G7180,615,698,上海,南京
6,334,D9513,745,782,南京,芜湖
6,335,D9514,805,848,芜湖,南京
7,65,G7101,371,500,南京,上海
7,3,G7006,540,639,上海,南京
8,26,G7024,1080,1185,上海,南京
8,71,G7069,1241,1360,南京,上海
9,23,G7018,900,1005,上海,南京
9,231,G7397/6,1094,1284,南京,上海
10,342,D9522/3,600,774,南京,南通
10,343,D9524/1,853,1014,南通,南京
11,332,D9511,620,663,南京,芜湖
11,333,D9512,683,726,芜湖,南京
11,278,D5516/7,773,912,南京,南通
11,279,D5528/5,936,1073,南通,南京
12,100,G7252/3,944,1077,上海,合肥
12,101,G7254/1,1103,1288,合肥,上海
13,322,G9408/5,913,1064,合肥,上海
13,140,G7156/7,1106,1330,上海,合肥
14,324,G9501,490,599,合肥,安庆
14,305,D5656,676,781,安庆,合肥
15,79,G7102,440,565,上海,南京
15,80,G7109,595,720,南京,上海
16,138,G7132/3,581,813,上海,安庆
16,139,G7146/3,832,1073,安庆,上海
17,276,D5526/7,842,1005,南京,南通
17,277,D5538/5,1055,1210,南通,南京
18,104,G7152/3,952,1124,上海,芜湖
18,105,G7220/17,1158,1324,芜湖,上海
19,118,G7238/5,840,1031,合肥,上海
