乘务组代号,出动成本,停驻成本
1,1,0.001
2,2,0.002
3,3,0.003
4,4,0.004
5,5,0.005
6,6,0.006
7,7,0.007
8,8,0.008
9,9,0.009
10,10,0.01
11,11,0.011
12,12,0.012
13,13,0.013
14,14,0.014
15,15,0.015
16,16,0.016
17,17,0.017
18,18,0.018
19,19,0.019
20,20,0.02
21,21,0.021
22,22,0.022
23,23,0.023
24,24,0.024
25,25,0.025
26,26,0.026
27,27,0.027
28,28,0.028
29,29,0.029
30,30,0.03
31,31,0.031
32,32,0.032
33,33,0.033
34,34,0.034
35,35,0.035
36,36,0.036
37,37,0.037
38,38,0.038
39,39,0.039
40,40,0.04
41,41,0.041
42,42,0.042
43,43,0.043
44,44,0.044
45,45,0.045
46,46,0.046
47,47,0.047
48,48,0.048
49,49,0.049
50,50,0.05
51,51,0.051
52,52,0.052
53,53,0.053
54,54,0.054
55,55,0.055
56,56,0.056
57,57,0.057
58,58,0.058
59,59,0.059
60,60,0.06
61,61,0.061
62,62,0.062
63,63,0.063
64,64,0.064
65,65,0.065
66,66,0.066
67,67,0.067
68,68,0.068
69,69,0.069
70,70,0.07
71,71,0.071
72,72,0.072
73,73,0.073
74,74,0.074
75,75,0.075
76,76,0.076
77,77,0.077
78,78,0.078
79,79,0.079
80,80,0.08
81,81,0.081
82,82,0.082
83,83,0.083
84,84,0.084
85,85,0.085
86,86,0.086
87,87,0.087
88,88,0.088
89,89,0.089
90,90,0.09
91,91,0.091
92,92,0.092
93,93,0.093
94,94,0.094
95,95,0.095
96,96,0.096
97,97,0.097
98,98,0.098
99,99,0.099
100,100,0.1
101,101,0.101
102,102,0.102
103,103,0.103
104,104,0.104
105,105,0.105
106,106,0.106
107,107,0.107
108,108,0.108
109,109,0.109
110,110,0.11
111,111,0.111
112,112,0.112
113,113,0.113
114,114,0.114
115,115,0.115
116,116,0.116
117,117,0.117
118,118,0.118
119,119,0.119
120,120,0.12
121,121,0.121
122,122,0.122
123,123,0.123
124,124,0.124
125,125,0.125
126,126,0.126
127,127,0.127
128,128,0.128
129,129,0.129
130,130,0.13
131,131,0.131
132,132,0.132
133,133,0.133
134,134,0.134
135,135,0.135
136,136,0.136
137,137,0.137
138,138,0.138
139,139,0.139
140,140,0.14
141,141,0.141
142,142,0.142
143,143,0.143
144,144,0.144
145,145,0.145
146,146,0.146
147,147,0.147
148,148,0.148
149,149,0.149
150,150,0.15
151,151,0.151
152,152,0.152
153,153,0.153
154,154,0.154
155,155,0.155
156,156,0.156
157,157,0.157
158,158,0.158
159,159,0.159
160,160,0.16
161,161,0.161
162,162,0.162
163,163,0.163
164,164,0.164
165,165,0.165
166,166,0.166
167,167,0.167
168,168,0.168
169,169,0.169
170,170,0.17
171,171,0.171
172,172,0.172
173,173,0.173
174,174,0.174
175,175,0.175
176,176,0.176
177,177,0.177
178,178,0.178
179,179,0.179
180,180,0.18
181,181,0.181
182,182,0.182
183,183,0.183
184,184,0.184
185,185,0.185
186,186,0.186
187,187,0.187
188,188,0.188
189,189,0.189
190,190,0.19
191,191,0.191
192,192,0.192
193,193,0.193
194,194,0.194
195,195,0.195
196,196,0.196
197,197,0.197
198,198,0.198
199,199,0.199
200,200,0.2
201,201,0.201
202,202,0.202
203,203,0.203
204,204,0.204
205,205,0.205
206,206,0.206
207,207,0.207
208,208,0.208
209,209,0.209
210,210,0.21
211,211,0.211
212,212,0.212
213,213,0.213
214,214,0.214
215,215,0.215
216,216,0.216
217,217,0.217
218,218,0.218
219,219,0.219
220,220,0.22
221,221,0.221
222,222,0.222
223,223,0.223
224,224,0.224
225,225,0.225
226,226,0.226
227,227,0.227
228,228,0.228
229,229,0.229
230,230,0.23
231,231,0.231
232,232,0.232
233,233,0.233
234,234,0.234
235,235,0.235
236,236,0.236
237,237,0.237
238,238,0.238
239,239,0.239
240,240,0.24
241,241,0.241
242,242,0.242
243,243,0.243
244,244,0.244
245,245,0.245
246,246,0.246
247,247,0.247
248,248,0.248
249,249,0.249
250,250,0.25
251,251,0.251
252,252,0.252
253,253,0.253
254,254,0.254
255,255,0.255
256,256,0.256
257,257,0.257
258,258,0.258
259,259,0.259
260,260,0.26
261,261,0.261
262,262,0.262
263,263,0.263
264,264,0.264
265,265,0.265
266,266,0.266
267,267,0.267
268,268,0.268
269,269,0.269
270,270,0.27
271,271,0.271
272,272,0.272
273,273,0.273
274,274,0.274
275,275,0.275
276,276,0.276
277,277,0.277
278,278,0.278
279,279,0.279
280,280,0.28
281,281,0.281
282,282,0.282
283,283,0.283
284,284,0.284
285,285,0.285
286,286,0.286
287,287,0.287
288,288,0.288
289,289,0.289
290,290,0.29
291,291,0.291
292,292,0.292
293,293,0.293
294,294,0.294
295,295,0.295
296,296,0.296
297,297,0.297
298,298,0.298
299,299,0.299
300,300,0.3
