交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,26,G7024,1080,1185,上海,南京
1,28,G7027,1200,1299,南京,上海
2,481,G7421,1095,1203,合肥南,黄山北
2,483,G7422,1265,1359,黄山北,合肥南
3,374,G7452,1186,1298,合肥南,徐州东
3,295,G271/1,1320,1409,徐州东,合肥南
4,474,G7413,470,571,合肥南,黄山北
4,475,G7414,593,708,黄山北,合肥南
5,173,G9236/7,864,1080,上海虹桥,池州
5,174,G9238/5,1110,1345,池州,上海虹桥
6,547,D5651,411,517,合肥南,安庆
6,548,D5654,540,651,安庆,合肥南
7,133,G7358,370,456,杭州,上海
7,134,G7357,485,586,上海,杭州
8,71,G7102,440,565,上海虹桥,南京
8,72,G7109,595,720,南京,上海虹桥
9,149,G7564/5,514,773,杭州东,合肥南
9,148,G7566/3,826,1086,合肥南,杭州东
10,569,D5663,1063,1174,合肥南,安庆
10,570,D5664,1192,1297,安庆,合肥南
11,39,G7035,391,515,南京,上海
11,40,G7038,545,668,上海,南京
12,419,G7659,395,595,杭州东,温州南
12,411,G7624/1,635,769,温州南,杭州东
13,497,G7465,1029,1172,杭州东,温州南
13,498,G7462,1189,1332,温州南,杭州东
14,167,DJ7731,291,445,杭州东,温州南
14,447,G7568,480,637,温州南,杭州东
15,586,D9526,1037,1186,南京,南通
15,587,D9528,1209,1357,南通,南京
16,97,G7029,336,450,南京,上海
16,92,G7036,490,614,上海,南京
17,545,D5536,1093,1241,南京,南通
17,546,D5548,1261,1408,南通,南京
18,171,G9232/3,385,597,上海虹桥,铜陵
18,172,G9234/1,615,800,铜陵,上海虹桥
19,535,D5532,949,1110,南京,南通
19,536,D5544,1168,1320,南通,南京
20,451,G7567,937,1093,杭州东,温州南
20,231,G7668,1123,1311,温州南,杭州东
21,126,DJ7699,310,378,南京南,上海虹桥
21,154,G7395/8,447,660,上海虹桥,南京南
22,105,G7228/5,480,612,合肥南,上海
22,102,G7236/7,640,819,上海,合肥南
23,163,G9408/5,913,1064,合肥南,上海虹桥
23,164,G9406/7,1089,1276,上海虹桥,合肥南
24,582,D9509,496,542,南京南,芜湖
24,189,G7076/1,551,626,芜湖,安庆
24,566,D5656,677,782,安庆,合肥南
24,405,G7676,803,1029,合肥南,宁波
24,245,G7610,1045,1212,宁波,南京南
25,581,G9503,747,851,合肥南,安庆
25,561,D5606,854,986,安庆,南京南
25,181,D9517,995,1038,南京南,芜湖
25,360,D5644,1095,1132,芜湖,南京南
25,183,D9519,1135,1178,南京南,芜湖
25,205,G7144/1,1206,1280,芜湖,安庆
25,551,D5665,1305,1347,安庆,合肥南
26,571,D2103,448,470,合肥南,巢湖东
26,572,D2103/1,476,589,巢湖东,婺源
26,573,D2103/2,595,658,婺源,衢州
26,574,D5691,680,715,衢州,开化
26,575,D5692,886,922,开化,衢州
26,576,D2101,942,1146,衢州,合肥南
27,565,D5655,539,644,合肥南,安庆
27,358,G7138,743,982,安庆,上海虹桥
27,138,G7196/7,1074,1225,上海虹桥,合肥南
28,560,D5603,710,836,南京南,安庆
28,568,D5660,937,1042,安庆,合肥南
28,119,G7658/5,1128,1302,合肥南,杭州东
28,232,G7668/1,1313,1394,杭州东,南京南
29,558,D5653,446,545,合肥南,安庆
29,559,D5602,573,693,安庆,南京南
29,244,G7674/2,718,783,南京南,合肥南
30,554,D5605,830,950,南京南,安庆
30,555,D5608,968,1088,安庆,南京南
30,375,G7298/1,1093,1165,南京南,上海
30,38,G7068,1219,1341,上海,南京南
31,552,D5601,545,665,南京南,安庆
31,553,D5604,692,812,安庆,南京南
31,179,D9515,868,905,南京南,芜湖
31,368,G7284,935,979,芜湖,南京南
31,562,D5607,1004,1130,南京南,安庆
