交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,497,G7465,1029,1172,杭州东,温州南
1,498,G7462,1189,1332,温州南,杭州东
2,173,G9236/7,864,1080,上海虹桥,池州
2,174,G9238/5,1110,1345,池州,上海虹桥
3,286,G7388,866,1048,合肥南,上海虹桥
3,164,G9406/7,1089,1276,上海虹桥,合肥南
4,49,G7246/3,918,1111,合肥南,上海
4,116,G7260/1,1152,1337,上海,合肥南
5,586,D9526,1037,1186,南京,南通
5,587,D9528,1209,1357,南通,南京
6,113,G7258/5,461,657,合肥南,上海
6,114,G7264/5,677,852,上海,合肥南
7,161,G9402/3,831,1027,上海虹桥,合肥南
7,112,G7166/3,1038,1225,合肥南,上海虹桥
8,547,D5651,411,517,合肥南,安庆
8,548,D5654,540,651,安庆,合肥南
9,374,G7452,1186,1298,合肥南,徐州东
9,295,G271/1,1320,1409,徐州东,合肥南
10,71,G7102,440,565,上海虹桥,南京
10,72,G7109,595,720,南京,上海虹桥
11,39,G7035,391,515,南京,上海
11,3,G7006,540,639,上海,南京
12,77,G7118,1038,1159,上海虹桥,南京
12,78,G7125,1188,1311,南京,上海虹桥
13,569,D5663,1063,1174,合肥南,安庆
13,570,D5664,1192,1297,安庆,合肥南
14,419,G7659,395,595,杭州东,温州南
14,226,G7660,788,967,温州南,杭州东
15,1,G7001,420,520,南京,上海
15,40,G7038,545,668,上海,南京
16,481,G7421,1095,1203,合肥南,黄山北
16,483,G7422,1265,1359,黄山北,合肥南
17,133,G7358,370,456,杭州,上海
17,134,G7357,485,586,上海,杭州
18,64,G7058,1093,1220,上海,南京
18,65,G7069,1241,1360,南京,上海
19,474,G7413,470,571,合肥南,黄山北
19,475,G7414,593,708,黄山北,合肥南
20,167,DJ7731,291,445,杭州东,温州南
20,447,G7568,480,637,温州南,杭州东
21,359,G7218,929,1078,上海,芜湖
21,342,G7220,1152,1319,芜湖,上海
22,53,G7039,434,554,南京,上海
22,86,G7042,605,726,上海,南京
23,535,D5532,949,1110,南京,南通
23,536,D5544,1168,1320,南通,南京
24,582,D9509,496,542,南京南,芜湖
24,189,G7076/1,551,626,芜湖,安庆
24,566,D5656,677,782,安庆,合肥南
24,405,G7676,803,1029,合肥南,宁波
24,245,G7610,1045,1212,宁波,南京南
25,581,G9503,747,851,合肥南,安庆
25,555,D5608,968,1088,安庆,南京南
25,556,D5609,1106,1220,南京南,安庆
25,557,D5666,1248,1347,安庆,合肥南
26,571,D2103,448,470,合肥南,巢湖东
26,572,D2103/1,476,589,巢湖东,婺源
26,573,D2103/2,595,658,婺源,衢州
26,574,D5691,680,715,衢州,开化
26,575,D5692,886,922,开化,衢州
26,576,D2101,942,1146,衢州,合肥南
27,565,D5655,539,644,合肥南,安庆
27,358,G7138,743,982,安庆,上海虹桥
27,138,G7196/7,1074,1225,上海虹桥,合肥南
28,558,D5653,446,545,合肥南,安庆
28,559,D5602,573,693,安庆,南京南
28,560,D5603,710,836,南京南,安庆
28,568,D5660,937,1042,安庆,合肥南
29,552,D5601,545,665,南京南,安庆
29,553,D5604,692,812,安庆,南京南
29,179,D9515,868,905,南京南,芜湖
29,180,D9516,925,962,芜湖,南京南
29,562,D5607,1004,1130,南京南,安庆
29,563,D5610,1149,1263,安庆,南京南
30,549,D5657,681,786,合肥南,安庆
30,550,D5658,814,925,安庆,合肥南
30,471,G7405/1,943,1058,合肥南,黄山北
30,472,G7408,1085,1247,黄山北,蚌埠南
30,473,G7433,1269,1318,蚌埠南,合肥南
31,543,D5516,773,912,南京,南通
31,544,D5528,936,1073,南通,南京
31,545,D5536,1093,1241,南京,南通
31,546,D5548,1261,1408,南通,南京
32,537,D5562,331,380,南京,扬州
32,538,D5564,405,457,扬州,南京
32,539,D5506,480,635,南京,南通
32,540,D5518,655,807,南通,南京
33,533,D5512,555,698,南京,南通
33,534,D5524,714,862,南通,南京
33,74,G7063,975,1100,南京,上海
33,27,G7026,1140,1240,上海,南京
34,529,D5502,420,573,南京,南通
34,530,D5514,600,764,南通,南京
34,21,G7013,780,879,南京,上海
34,107,G7100,885,1011,上海,南京
35,527,G7601,367,428,南京南,湖州
35,528,G7639,438,467,湖州,杭州东
35,466,G7382/1,533,594,杭州东,上海虹桥
35,186,G7136,630,792,上海虹桥,芜湖
35,178,D9514,805,848,芜湖,南京南
36,519,G7549,490,618,上海虹桥,宁波
36,253,G7540/1,667,788,宁波,上海虹桥
36,416,G7515,840,955,上海虹桥,宁波
36,520,G7550,1035,1171,宁波,上海虹桥
37,516,G7533,468,529,杭州东,宁波
37,321,G2362,561,672,宁波,温州南
37,239,G7690,767,962,温州南,杭州东
38,504,G7541,374,470,上海虹桥,宁波
38,505,G7541/1,476,550,宁波,台州
38,506,G7508,565,747,台州,上海虹桥
39,504,G7541,374,470,上海虹桥,宁波
39,525,G7532,510,641,宁波,上海虹桥
39,511,G7509,658,773,上海虹桥,宁波
39,503,G7542/1,785,916,宁波,上海虹桥
40,500,G7503,484,592,上海虹桥,宁波
40,501,G7503/1,600,666,宁波,台州
40,502,G7542,712,779,台州,宁波
40,512,G7514,791,851,宁波,杭州东
40,513,G7514/1,859,920,杭州东,上海虹桥
40,142,G7311,1047,1119,上海虹桥,杭州
40,143,G7314,1142,1203,杭州,上海虹桥
41,500,G7503,484,592,上海虹桥,宁波
41,376,G7608,778,832,宁波,杭州东
41,377,G7608/1,849,947,杭州东,南京南
41,117,G7613,982,1075,南京南,杭州东
41,523,G7550/3,1113,1136,杭州东,嘉兴南
41,524,G7550/4,1142,1171,嘉兴南,上海虹桥
42,491,G7467,578,601,杭州东,诸暨
42,215,G7694/1,702,766,诸暨,江山
42,454,G2328/1,926,1054,江山,温州南
42,457,G7340,1114,1258,温州南,杭州东
43,491,G7467,578,601,杭州东,诸暨
43,251,G7619/2,765,879,诸暨,温州南
43,310,G2364/3,1021,1137,温州南,宁波
43,437,G9516,1164,1231,宁波,杭州东
44,488,G7463,1069,1093,杭州东,诸暨
44,489,G7463/1,1109,1217,诸暨,温州南
44,490,G7466,1233,1365,温州南,杭州东
45,484,G7461,664,682,上海虹桥,金山北
45,485,G7461/1,692,884,金山北,温州南
45,407,G7622,894,1027,温州南,杭州东
45,578,G9313,1085,1160,杭州东,衢州
45,302,G1364/1,1207,1340,衢州,上海虹桥
46,477,G7419,988,1038,合肥南,铜陵北
46,478,G7419/1,1045,1057,铜陵北,南陵
46,479,G7419/2,1063,1112,南陵,黄山北
46,480,G7420,1146,1254,黄山北,合肥南
47,468,G7401,511,612,合肥南,黄山北
47,469,G7406,632,801,黄山北,蚌埠南
47,470,G7405,880,936,蚌埠南,合肥南
48,461,G7364/1,569,636,杭州东,上海虹桥
48,289,G1956,719,921,上海虹桥,徐州东
48,281,G45/1,1117,1283,徐州东,杭州东
49,459,G7341,360,503,杭州东,温州南
49,460,G7341/1,513,549,温州南,苍南
49,410,G7624,593,629,苍南,温州南
49,274,G7546,680,866,温州南,杭州东
50,459,G7341,360,503,杭州东,温州南
50,440,G7324,518,720,温州南,上海虹桥
50,392,G7347,865,980,上海虹桥,金华南
50,487,G7464/1,992,1047,金华南,杭州东
51,453,G7331,380,577,上海虹桥,温州南
51,493,G7467/2,736,766,温州南,苍南
51,442,G7336,838,1072,苍南,上海虹桥
52,448,G7379,667,779,杭州东,丽水
52,234,G7335/1,925,992,丽水,苍南
52,526,G7538,1004,1223,苍南,杭州东
53,446,G7543,427,665,上海虹桥,温州南
53,399,G7334,684,786,温州南,义乌
53,400,G7334/1,798,847,义乌,海宁西
53,401,G7334/2,854,908,海宁西,上海虹桥
53,145,G7309,982,1063,上海虹桥,杭州
53,146,G7312,1080,1140,杭州,上海虹桥
54,438,G7327,381,406,杭州东,诸暨
54,439,G7328,423,448,诸暨,杭州东
54,516,G7533,468,529,杭州东,宁波
54,305,G2342,548,620,宁波,杭州东
55,428,G7198/2,904,955,南京南,无锡东
55,429,G7198/3,972,1009,无锡东,昆山南
55,255,G7520/1,1135,1240,昆山南,南京南
56,427,G7198/1,831,895,合肥南,南京南
56,181,D9517,995,1038,南京南,芜湖
56,182,D9518,1060,1103,芜湖,南京南
56,183,D9519,1135,1178,南京南,芜湖
56,205,G7144/1,1206,1280,芜湖,安庆
56,551,D5665,1305,1347,安庆,合肥南
57,404,G7678/1,778,926,杭州东,合肥南
57,242,G7680,960,1149,合肥南,余姚北
57,518,G7534/1,1307,1347,余姚北,杭州东
58,395,G7649,940,1113,南京南,衢州
58,579,G9314,1182,1193,衢州,龙游
58,580,G9314/1,1199,1269,龙游,杭州东
58,159,G7612,1282,1363,杭州东,南京南
59,387,G7643/2,548,572,杭州东,诸暨
59,388,G7643/3,583,653,诸暨,丽水
59,271,G7325/2,717,753,丽水,温州南
59,223,G7599/3,899,923,温州南,苍南
59,526,G7538,1004,1223,苍南,杭州东
60,387,G7643/2,548,572,杭州东,诸暨
60,388,G7643/3,583,653,诸暨,丽水
60,389,G7348,679,739,丽水,义乌
60,218,G7698/2,776,829,义乌,江山
60,454,G2328/1,926,1054,江山,温州南
60,457,G7340,1114,1258,温州南,杭州东
61,385,G7643,424,458,南京南,溧阳
61,386,G7643/1,465,533,溧阳,杭州东
61,194,G7572/1,599,719,杭州东,无锡
61,206,G7078/1,738,801,无锡,上海
61,207,G7092,828,991,上海,芜湖
61,360,D5644,1095,1132,芜湖,南京南
62,383,G7686,410,573,杭州东,合肥
62,384,G7686/1,582,615,合肥,淮南东
62,228,G7669,630,825,淮南东,杭州东
63,381,G7345,780,923,杭州东,鳌江
63,382,G7345/1,930,942,鳌江,苍南
63,235,G7350,1056,1233,苍南,杭州东
