交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,71,G7102,440,565,上海虹桥,南京
1,72,G7109,595,720,南京,上海虹桥
2,1,G7001,420,520,南京,上海
2,3,G7006,540,639,上海,南京
3,497,G7465,1029,1172,杭州东,温州南
3,498,G7462,1189,1332,温州南,杭州东
4,44,G7054,980,1100,上海,南京
4,108,G7099,1125,1257,南京,上海
5,167,DJ7731,291,445,杭州东,温州南
5,447,G7568,480,637,温州南,杭州东
6,504,G7541,374,470,上海虹桥,宁波
6,525,G7532,510,641,宁波,上海虹桥
7,545,D5536,1093,1241,南京,南通
7,546,D5548,1261,1408,南通,南京
8,474,G7413,470,571,合肥南,黄山北
8,475,G7414,593,708,黄山北,合肥南
9,133,G7358,370,456,杭州,上海
9,134,G7357,485,586,上海,杭州
10,535,D5532,949,1110,南京,南通
10,536,D5544,1168,1320,南通,南京
11,419,G7659,395,595,杭州东,温州南
11,274,G7546,680,866,温州南,杭州东
12,266,G1820/1,1009,1092,南京南,上海虹桥
12,153,G7391/4,1098,1304,上海虹桥,南京南
13,105,G7228/5,480,612,合肥南,上海
13,102,G7236/7,640,819,上海,合肥南
14,359,G7218,929,1078,上海,芜湖
14,342,G7220,1152,1319,芜湖,上海
15,451,G7567,937,1093,杭州东,温州南
15,231,G7668,1123,1311,温州南,杭州东
16,173,G9236/7,864,1080,上海虹桥,池州
16,174,G9238/5,1110,1345,池州,上海虹桥
17,374,G7452,1186,1298,合肥南,徐州东
17,295,G271/1,1320,1409,徐州东,合肥南
18,569,D5663,1063,1174,合肥南,安庆
18,570,D5664,1192,1297,安庆,合肥南
19,356,G7242/2,1023,1150,南京南,上海
19,125,G7070,1240,1360,上海,南京南
20,163,G9408/5,913,1064,合肥南,上海虹桥
20,164,G9406/7,1089,1276,上海虹桥,合肥南
21,53,G7039,434,554,南京,上海
21,86,G7042,605,726,上海,南京
22,586,D9526,1037,1186,南京,南通
22,587,D9528,1209,1357,南通,南京
23,547,D5651,411,517,合肥南,安庆
23,548,D5654,540,651,安庆,合肥南
24,582,D9509,496,542,南京南,芜湖
24,189,G7076/1,551,626,芜湖,安庆
24,566,D5656,677,782,安庆,合肥南
24,405,G7676,803,1029,合肥南,宁波
24,245,G7610,1045,1212,宁波,南京南
25,581,G9503,747,851,合肥南,安庆
25,555,D5608,968,1088,安庆,南京南
25,556,D5609,1106,1220,南京南,安庆
25,557,D5666,1248,1347,安庆,合肥南
26,571,D2103,448,470,合肥南,巢湖东
26,572,D2103/1,476,589,巢湖东,婺源
26,573,D2103/2,595,658,婺源,衢州
26,574,D5691,680,715,衢州,开化
26,575,D5692,886,922,开化,衢州
26,576,D2101,942,1146,衢州,合肥南
27,565,D5655,539,644,合肥南,安庆
27,358,G7138,743,982,安庆,上海虹桥
27,156,G7196/7,1074,1225,上海虹桥,合肥南
28,558,D5653,446,545,合肥南,安庆
28,559,D5602,573,693,安庆,南京南
28,560,D5603,710,836,南京南,安庆
28,568,D5660,937,1042,安庆,合肥南
29,552,D5601,545,665,南京南,安庆
29,553,D5604,692,812,安庆,南京南
29,179,D9515,868,905,南京南,芜湖
29,180,D9516,925,962,芜湖,南京南
29,562,D5607,1004,1130,南京南,安庆
29,563,D5610,1149,1263,安庆,南京南
30,549,D5657,681,786,合肥南,安庆
30,561,D5606,854,986,安庆,南京南
30,181,D9517,995,1038,南京南,芜湖
30,182,D9518,1060,1103,芜湖,南京南
30,183,D9519,1135,1178,南京南,芜湖
30,205,G7144/1,1206,1280,芜湖,安庆
30,551,D5665,1305,1347,安庆,合肥南
31,537,D5562,331,380,南京,扬州
31,538,D5564,405,457,扬州,南京
31,539,D5506,480,635,南京,南通
31,540,D5518,655,807,南通,南京
32,529,D5502,420,573,南京,南通
32,530,D5514,600,764,南通,南京
32,531,D5522,800,952,南京,南通
32,532,D5534,972,1121,南通,南京
33,527,G7601,367,428,南京南,湖州
33,528,G7639,438,467,湖州,杭州东
33,149,G7564/5,514,773,杭州东,合肥南
33,427,G7198/1,831,895,合肥南,南京南
34,519,G7549,490,618,上海虹桥,宁波
34,403,G7678,720,772,宁波,杭州东
34,404,G7678/1,778,926,杭州东,合肥南
34,444,G7158/1,1012,1094,合肥南,镇江
34,445,G7158/2,1101,1206,镇江,上海虹桥
35,519,G7549,490,618,上海虹桥,宁波
35,415,G7510,684,805,宁波,上海虹桥
35,416,G7515,840,955,上海虹桥,宁波
35,520,G7550,1035,1171,宁波,上海虹桥
36,516,G7533,468,529,杭州东,宁波
36,321,G2362,561,672,宁波,温州南
36,226,G7660,788,967,温州南,杭州东
37,511,G7509,658,773,上海虹桥,宁波
37,379,G7518,928,1045,宁波,上海虹桥
37,287,G7388/1,1052,1151,上海虹桥,诸暨
37,262,G1640/4,1285,1363,诸暨,上海虹桥
38,511,G7509,658,773,上海虹桥,宁波
38,512,G7514,791,851,宁波,杭州东
38,451,G7567,937,1093,杭州东,温州南
38,452,G7528,1118,1351,温州南,上海虹桥
39,504,G7541,374,470,上海虹桥,宁波
39,505,G7541/1,476,550,宁波,台州
39,506,G7508,565,747,台州,上海虹桥
40,500,G7503,484,592,上海虹桥,宁波
40,501,G7503/1,600,666,宁波,台州
40,502,G7542,712,779,台州,宁波
40,503,G7542/1,785,916,宁波,上海虹桥
40,142,G7311,1047,1119,上海虹桥,杭州
40,143,G7314,1142,1203,杭州,上海虹桥
41,491,G7467,578,601,杭州东,诸暨
41,215,G7694/1,702,766,诸暨,江山
41,454,G2328/1,926,1054,江山,温州南
41,457,G7340,1114,1258,温州南,杭州东
42,488,G7463,1069,1093,杭州东,诸暨
42,489,G7463/1,1109,1217,诸暨,温州南
42,490,G7466,1233,1365,温州南,杭州东
43,477,G7419,988,1038,合肥南,铜陵北
43,478,G7419/1,1045,1057,铜陵北,南陵
43,479,G7419/2,1063,1112,南陵,黄山北
43,480,G7420,1146,1254,黄山北,合肥南
44,471,G7405/1,943,1058,合肥南,黄山北
44,472,G7408,1085,1247,黄山北,蚌埠南
44,473,G7433,1269,1318,蚌埠南,合肥南
45,468,G7401,511,612,合肥南,黄山北
45,469,G7406,632,801,黄山北,蚌埠南
45,470,G7405,880,936,蚌埠南,合肥南
46,466,G7382/1,533,594,杭州东,上海虹桥
46,80,G7106,665,778,上海虹桥,南京
46,81,G7115,810,932,南京,上海虹桥
46,145,G7309,982,1063,上海虹桥,杭州
46,146,G7312,1080,1140,杭州,上海虹桥
46,465,G7381,1155,1206,上海虹桥,杭州东
47,461,G7364/1,569,636,杭州东,上海虹桥
47,289,G1956,719,921,上海虹桥,徐州东
47,281,G45/1,1117,1283,徐州东,杭州东
48,459,G7341,360,503,杭州东,温州南
48,460,G7341/1,513,549,温州南,苍南
48,410,G7624,593,629,苍南,温州南
48,239,G7690,767,962,温州南,杭州东
49,453,G7331,380,577,上海虹桥,温州南
49,399,G7334,684,786,温州南,义乌
49,400,G7334/1,798,847,义乌,海宁西
49,401,G7334/2,854,908,海宁西,上海虹桥
50,446,G7543,427,665,上海虹桥,温州南
50,493,G7467/2,736,766,温州南,苍南
50,442,G7336,838,1072,苍南,上海虹桥
51,438,G7327,381,406,杭州东,诸暨
51,439,G7328,423,448,诸暨,杭州东
51,516,G7533,468,529,杭州东,宁波
51,305,G2342,548,620,宁波,杭州东
52,433,G7317,694,837,上海虹桥,宜兴
52,434,G7319,863,875,宜兴,长兴
52,435,G7319/1,881,1019,长兴,上海虹桥
52,77,G7118,1038,1159,上海虹桥,南京
52,78,G7125,1188,1311,南京,上海虹桥
53,428,G7198/2,904,955,南京南,无锡东
53,429,G7198/3,972,1009,无锡东,昆山南
53,430,G7198/4,1015,1032,昆山南,上海虹桥
53,96,G7122,1143,1269,上海虹桥,南京南
54,428,G7198/2,904,955,南京南,无锡东
54,429,G7198/3,972,1009,无锡东,昆山南
54,255,G7520/1,1135,1240,昆山南,南京南
55,424,G7417,785,893,合肥南,黄山北
55,425,G7418,967,1061,黄山北,合肥南
55,481,G7421,1095,1203,合肥南,黄山北
55,483,G7422,1265,1359,黄山北,合肥南
56,414,G7505,433,659,南京南,宁波
56,253,G7540/1,667,788,宁波,上海虹桥
56,337,G7148,815,982,上海虹桥,芜湖
56,182,D9518,1060,1103,芜湖,南京南
57,408,G7623,1056,1082,杭州东,诸暨
57,409,G7623/1,1088,1210,诸暨,温州南
57,490,G7466,1233,1365,温州南,杭州东
58,404,G7678/1,778,926,杭州东,合肥南
58,242,G7680,960,1149,合肥南,余姚北
58,518,G7534/1,1307,1347,余姚北,杭州东
59,392,G7347,865,980,上海虹桥,金华南
59,487,G7464/1,992,1047,金华南,杭州东
59,422,G7685/2,1104,1129,杭州东,诸暨
59,288,G7388/2,1161,1225,诸暨,衢州
59,175,G9312,1286,1407,衢州,上海虹桥
60,387,G7643/2,548,572,杭州东,诸暨
60,388,G7643/3,583,653,诸暨,丽水
60,271,G7325/2,717,753,丽水,温州南
60,223,G7599/3,899,923,温州南,苍南
60,526,G7538,1004,1223,苍南,杭州东
61,387,G7643/2,548,572,杭州东,诸暨
61,388,G7643/3,583,653,诸暨,丽水
61,389,G7348,679,739,丽水,义乌
61,218,G7698/2,776,829,义乌,江山
61,454,G2328/1,926,1054,江山,温州南
61,457,G7340,1114,1258,温州南,杭州东
62,385,G7643,424,458,南京南,溧阳
62,386,G7643/1,465,533,溧阳,杭州东
62,194,G7572/1,599,719,杭州东,无锡
62,206,G7078/1,738,801,无锡,上海
62,207,G7092,828,991,上海,芜湖
62,360,D5644,1095,1132,芜湖,南京南
63,383,G7686,410,573,杭州东,合肥
63,384,G7686/1,582,615,合肥,淮南东
63,228,G7669,630,825,淮南东,杭州东
64,381,G7345,780,923,杭州东,鳌江
64,382,G7345/1,930,942,鳌江,苍南
