编号,车站,是否允许外段驻班
1,南京,1
2,上海,1
3,杭州,1
4,合肥,1
5,南京南,1
6,上海虹桥,1
7,杭州东,1
8,合肥南,1
9,衢州,1
10,铜陵,1
11,池州,1
12,芜湖,1
13,南通,1
14,安庆,1
15,常州,1
16,无锡,1
17,淮南东,1
18,奉化,1
19,温州南,1
20,水家湖,1
21,余姚北,1
22,桐乡,1
23,宁波,1
24,苏州,1
25,六安,1
26,嘉兴南,1
27,温岭,1
28,当涂东,1
29,繁昌西,1
30,弋江,1
31,镇江,1
32,徐州东,1
33,北京南,1
34,淮北,1
35,沧州西,1
36,宿州东    ,1
37,常州北,1
38,苏州北,1
39,余杭,1
40,诸暨,1
41,江山,1
42,溧水,1
43,丽水,1
44,宜兴,1
45,溧阳,1
46,长兴,1
47,义乌,1
48,无锡新区,1
49,临海,1
50,海宁西,1
51,嘉善南,1
52,雁荡山,1
53,无锡东,1
54,滁州,1
55,苍南,1
56,庄桥,1
57,金华南,1
58,缙云西,1
59,湖州,1
60,绍兴北,1
61,台州,1
62,蚌埠南,1
63,上海虹桥,1
64,济南西,1
65,徐州东,1
66,永康南,1
67,青田,1
68,抚州东,1
69,长沙南,1
70,玉山南,1
71,乐清,1
72,定远,1
73,三门县,1
74,句容西,1
75,瑞安,1
76,绍兴东,1
77,昆山南,1
78,丹阳,1
79,江宁西,1
80,天津南,1
81,建瓯西,1
82,厦门北,1
83,上饶,1
84,武夷山东,1
85,莆田,1
86,福州,1
87,太原南,1
88,德州东,1
89,枣庄,1
90,阳泉北,1
91,郑州东,1
92,曲阜东,1
93,廊坊,1
94,西安北,1
95,苍南,1
96,杭州东,1
97,南京南,1
98,鹰潭北,1
99,枫林,1
100,武汉,1
101,南昌西,1
102,长沙南,1
103,三穗,1
104,贵阳北,1
105,韶山南,1
106,武义北,1
107,鳌江,1
108,济南西,1
109,滕州东,1
110,松江南,1
111,金寨,1
112,阳澄湖,1
113,黄山北,1
114,天津西,1
115,全椒,1
116,兰考南,1
117,邯郸东,1
118,安阳东,1
119,商丘,1
120,新余北,1
121,怀化南,1
122,高安,1
123,漳州,1
124,汕尾,1
125,深圳北,1
126,无为,1
127,旌德,1
128,金华,1
129,龙游,1
130,桂林,1
131,南宁东,1
132,全州南,1
133,赤壁北,1
134,岳阳东,1
135,合肥南,1
136,天津西,1
137,弋阳,1
138,惠山,1
139,苏州园区,1
140,丹阳北,1
141,德清,1
142,马鞍山东,1
143,铜陵北,1
144,南陵,1
145,金山北,1
146,扬州,1
147,巢湖东,1
148,婺源,1
149,开化,1
