编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号
1,G7001,南京,上海,420,520,1
2,G7004,上海,南京,480,579,2
3,G7006,上海,南京,540,639,3
4,G7007,南京,上海,600,700,4
5,G7009,南京,上海,660,759,5
6,G7012,上海,南京,720,819,6
7,G7014,上海,南京,780,879,7
8,G7015,南京,上海,840,940,8
9,G7017,南京,上海,900,1000,9
10,G7020,上海,南京,960,1059,10
11,G7022,上海,南京,1020,1121,11
12,G7023,南京,上海,1080,1179,12
13,G7025,南京,上海,1140,1239,13
14,G7028,上海,南京,1200,1299,14
15,G7002,上海,南京,420,525,15
16,G7003,南京,上海,480,579,16
17,G7005,南京,上海,540,639,17
18,G7008,上海,南京,600,699,18
19,G7010,上海,南京,660,759,19
20,G7011,南京,上海,720,819,20
21,G7013,南京,上海,780,879,21
22,G7016,上海,南京,840,941,22
23,G7018,上海,南京,900,1005,23
24,G7019,南京,上海,960,1060,24
25,G7021,南京,上海,1020,1121,25
26,G7024,上海,南京,1080,1185,26
27,G7026,上海,南京,1140,1240,27
28,G7027,南京,上海,1200,1299,28
29,DJ7715,南京南,上海,301,388,29
30,G7034,上海,南京,414,559,30
31,G7047,南京,上海,609,727,31
32,G7048,上海,南京,745,874,32
33,G7059,南京,上海,905,1019,33
34,G7056,上海,南京,1046,1165,34
35,G7067,南京,上海,1181,1307,35
36,DJ7716,上海,南京南,305,408,36
37,G7103,南京南,上海虹桥,439,565,37
38,G7068,上海,南京南,1219,1341,38
39,G7035,南京,上海,391,515,39
40,G7038,上海,南京,545,668,40
41,G7049,南京,上海,700,823,41
42,G7044,上海,南京,646,764,42
43,G7055,南京,上海,834,951,43
44,G7054,上海,南京,980,1100,44
45,G7097,南京,上海,1120,1244,45
46,G7098,上海,南京,1265,1378,46
47,G7037,南京南,上海,400,538,47
48,G7244/5,上海,合肥南,713,886,48
49,G7246/3,合肥南,上海,918,1111,49
50,G7052,上海,南京,939,1064,50
51,G7065,南京,上海,1092,1220,51
52,G7030,上海,南京南,1260,1379,52
53,G7039,南京,上海,434,554,53
54,G7040,上海,南京,594,712,54
55,G7051,南京,上海,729,853,55
56,G7050,上海,南京,870,990,56
57,G7121,南京,上海虹桥,1015,1137,57
58,G7124,上海虹桥,南京,1169,1288,58
59,G7101,南京,上海虹桥,371,500,59
60,G7104,上海虹桥,南京,534,650,60
61,G7113,南京,上海虹桥,665,771,61
62,G7112,上海虹桥,南京,793,916,62
63,G7061,南京,上海,947,1070,63
64,G7058,上海,南京,1093,1220,64
65,G7069,南京,上海,1241,1360,65
66,G7032,上海,南京,353,474,66
67,G7045,南京,上海,569,696,67
68,G7046,上海,南京,740,852,68
69,G7057,南京,上海,867,988,69
70,G7062,上海,南京,1172,1293,70
71,G7102,上海虹桥,南京,440,565,71
72,G7109,南京,上海虹桥,595,720,72
73,G7110,上海虹桥,南京,766,895,73
74,G7063,南京,上海,975,1100,74
75,G7108,上海虹桥,南京,700,824,75
76,G7117,南京,上海虹桥,882,1004,76
77,G7118,上海虹桥,南京,1038,1159,77
78,G7125,南京,上海虹桥,1188,1311,78
79,G7105,南京,上海虹桥,518,644,79
80,G7106,上海虹桥,南京,665,778,80
81,G7115,南京,上海虹桥,810,932,81
82,G7116,上海虹桥,南京,974,1095,82
83,G7120,上海虹桥,南京,1089,1209,83
84,G7107,南京,上海虹桥,550,678,84
85,G7042,上海,南京,605,726,85
86,G7053,南京,上海,790,915,86
87,G7252/3,上海,合肥南,944,1077,87
88,G7254/1,合肥南,上海,1103,1288,88
89,G7096,上海,南京,1310,1410,89
90,G7127,南京南,上海虹桥,800,936,90
91,G7036,上海,南京,490,614,91
92,G7111,南京,上海虹桥,629,748,92
93,G7114,上海虹桥,南京,847,967,93
94,G7119,南京,上海虹桥,983,1105,94
95,G7122,上海虹桥,南京南,1143,1269,95
96,G7029,南京,上海,336,450,96
97,G7066,上海,南京,1208,1329,97
98,G7031,南京南,上海,354,474,98
99,G7222/3,上海,合肥,1012,1199,99
100,G7043,南京南,上海,491,618,100
101,G7236/7,上海,合肥南,640,819,101
102,G7238/5,合肥南,上海,840,1031,102
103,G7228/5,合肥南,上海,480,612,103
104,G7064,上海,南京南,975,1100,104
105,G7100,上海,南京,885,1011,105
106,G7099,南京,上海,1125,1257,106
107,G7229,南京南,上海,779,902,107
108,G7164/5,上海虹桥,合肥南,787,965,108
109,G7258/5,合肥南,上海,461,657,109
110,G7264/5,上海,合肥南,677,852,110
111,G7266/3,合肥南,上海,872,1046,111
112,G7260/1,上海,合肥南,1152,1337,112
113,G7613,南京南,杭州东,982,1075,113
114,G7652/3,杭州东,合肥南,1121,1271,114
115,G7634/1,合肥南,杭州东,759,911,115
116,G7656/7,杭州东,合肥南,934,1108,116
117,G7603,南京南,杭州东,1130,1218,117
118,G7248/9,上海,合肥南,794,979,118
119,G7250/47,合肥南,上海,997,1190,119
120,G7070,上海,南京南,1240,1360,120
121,DJ7699,南京南,上海虹桥,310,378,121
122,G7604,杭州东,南京南,730,811,122
123,G7351,上海,杭州,578,667,123
124,G7304,杭州,上海虹桥,690,759,124
125,G7305,上海虹桥,杭州,810,876,125
126,G7308,杭州,上海虹桥,892,951,126
127,G7315,上海虹桥,杭州,1290,1348,127
128,G7358,杭州,上海,370,456,128
129,G7357,上海,杭州,485,586,129
130,G7360,杭州,上海,937,1041,130
131,G7359,上海,杭州,1074,1171,131
132,G7352,杭州,上海,1200,1291,132
133,G7196/7,上海虹桥,合肥南,1074,1225,133
134,G7301,上海虹桥,杭州,395,460,134
135,G7302,杭州,上海虹桥,478,543,135
136,G7180,上海虹桥,南京南,615,698,136
137,G7311,上海虹桥,杭州,1047,1119,137
138,G7314,杭州,上海虹桥,1142,1203,138
139,G7126,上海虹桥,南京南,1230,1353,139
140,G7309,上海虹桥,杭州,982,1063,140
