乘务组代号,出动成本,停驻成本
1,1,0.01
2,2,0.02
3,3,0.03
4,4,0.04
5,5,0.05
6,6,0.06
7,7,0.07
8,8,0.08
9,9,0.09
10,10,0.1
11,11,0.11
12,12,0.12
13,13,0.13
14,14,0.14
15,15,0.15
16,16,0.16
17,17,0.17
18,18,0.18
19,19,0.19
20,20,0.2
21,21,0.21
22,22,0.22
23,23,0.23
24,24,0.24
25,25,0.25
26,26,0.26
27,27,0.27
28,28,0.28
29,29,0.29
30,30,0.3
31,31,0.31
32,32,0.32
33,33,0.33
34,34,0.34
35,35,0.35
36,36,0.36
37,37,0.37
38,38,0.38
39,39,0.39
40,40,0.4
41,41,0.41
42,42,0.42
43,43,0.43
44,44,0.44
45,45,0.45
46,46,0.46
47,47,0.47
48,48,0.48
49,49,0.49
50,50,0.5
51,51,0.51
52,52,0.52
53,53,0.53
54,54,0.54
55,55,0.55
56,56,0.56
57,57,0.57
58,58,0.58
59,59,0.59
60,60,0.6
