编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号
1,C2001,北京南,天津,361,396,1
2,C2003,北京南,天津,374,409,2
3,C2005,北京南,天津,387,422,3
4,C2009 +,北京南,天津,411,446,4
5,C2011,北京南,天津,423,458,5
6,C2013,北京南,天津,433,468,6
7,C2015,北京南,天津,466,501,7
8,C2017,北京南,天津,499,534,8
9,C2019,北京南,天津,507,542,9
10,C2023,北京南,天津,543,578,10
11,C2025,北京南,天津,548,583,11
12,C2027 +,北京南,天津,557,592,12
13,C2029,北京南,天津,565,600,13
14,C2031,北京南,天津,577,612,14
15,C2033,北京南,天津,600,635,15
16,C2035,北京南,天津,608,643,16
17,C2037,北京南,天津,640,675,17
18,C2039,北京南,天津,648,683,18
19,C2041,北京南,天津,672,707,19
20,C2043,北京南,天津,678,713,20
21,C2045 +,北京南,天津,690,725,21
22,C2047,北京南,天津,702,737,22
23,C2049,北京南,天津,714,749,23
24,C2051,北京南,天津,743,778,24
25,C2053,北京南,天津,770,805,25
26,C2057,北京南,天津,832,867,26
27,C2059 +,北京南,天津,858,893,27
28,C2061,北京南,天津,880,915,28
29,C2063,北京南,天津,889,924,29
30,C2065,北京南,天津,900,935,30
31,C2067,北京南,天津,932,967,31
32,C2069,北京南,天津,945,980,32
33,C2073,北京南,天津,992,1027,33
34,C2075 +,北京南,天津,1001,1036,34
35,C2079,北京南,天津,1043,1078,35
36,C2081,北京南,天津,1065,1100,36
37,C2083,北京南,天津,1094,1129,37
38,C2085,北京南,天津,1120,1155,38
39,C2087,北京南,天津,1132,1167,39
40,C2089 +,北京南,天津,1146,1181,40
41,C2091,北京南,天津,1182,1217,41
42,C2093,北京南,天津,1194,1229,42
43,C2095,北京南,天津,1208,1243,43
44,C2097,北京南,天津,1267,1302,44
45,C2099,北京南,天津,1286,1321,45
46,C2101,北京南,天津,1310,1345,46
47,C2103,北京南,天津,1338,1373,47
48,C2105,北京南,天津,1363,1398,48
49,C2107,北京南,天津,1385,1420,49
50,C2201,北京南,天津,392,433,50
51,C2203,北京南,天津,451,492,51
52,C2205,北京南,天津,488,529,52
53,C2207,北京南,天津,532,573,53
54,C2209,北京南,天津,585,626,54
55,C2211,北京南,天津,616,657,55
56,C2215,北京南,天津,726,767,56
57,C2217,北京南,天津,752,793,57
58,C2219,北京南,天津,780,821,58
59,C2221,北京南,天津,820,861,59
60,C2223,北京南,天津,842,883,60
61,C2225,北京南,天津,912,953,61
62,C2227,北京南,天津,950,991,62
63,C2229,北京南,天津,968,1009,63
64,C2231,北京南,天津,1029,1070,64
65,C2233,北京南,天津,1051,1092,65
66,C2235,北京南,天津,1072,1113,66
67,C2237,北京南,天津,1108,1149,67
68,C2239,北京南,天津,1166,1207,68
69,C2241,北京南,天津,1215,1256,69
70,C2243,北京南,天津,1234,1275,70
71,C2245,北京南,天津,1256,1297,71
72,C2581,北京南,天津,443,478,72
73,C2583,北京南,天津,524,559,73
74,C2585,北京南,天津,627,662,74
75,C2587,北京南,天津,798,833,75
76,C2589,北京南,天津,979,1014,76
77,C2593,北京南,天津,1226,1261,77
78,C2595,北京南,天津,403,438,78
79,C2597,北京南,天津,1009,1044,79
80,C2002,天津,北京南,365,400,80
81,C2004,天津,北京南,380,415,81
82,C2006,天津,北京南,435,470,82
83,C2008,天津,北京南,482,517,83
84,C2010 +,天津,北京南,491,526,84
85,C2012,天津,北京南,503,538,85
86,C2014,天津,北京南,518,553,86
87,C2016,天津,北京南,547,582,87
88,C2018,天津,北京南,591,626,88
89,C2022,天津,北京南,602,637,89
90,C2024 +,天津,北京南,629,664,90
91,C2026,天津,北京南,639,674,91
92,C2028,天津,北京南,665,700,92
93,C2030,天津,北京南,674,709,93
94,C2032,天津,北京南,695,730,94
95,C2034,天津,北京南,715,750,95
96,C2038,天津,北京南,733,768,96
97,C2040,天津,北京南,739,774,97
98,C2042,天津,北京南,756,791,98
99,C2044 +,天津,北京南,782,817,99
100,C2046,天津,北京南,795,830,100
101,C2048,天津,北京南,818,853,101
102,C2050,天津,北京南,846,881,102
103,C2054,天津,北京南,887,922,103
104,C2056,天津,北京南,905,940,104
105,C2058 +,天津,北京南,917,952,105
106,C2060,天津,北京南,931,966,106
107,C2062,天津,北京南,983,1018,107
108,C2064,天津,北京南,1005,1040,108
109,C2066,天津,北京南,1026,1061,109
110,C2070,天津,北京南,1061,1096,110
111,C2072 +,天津,北京南,1081,1116,111
112,C2076,天津,北京南,1095,1130,112
113,C2078,天津,北京南,1124,1159,113
114,C2080,天津,北京南,1157,1192,114
115,C2082,天津,北京南,1170,1205,115
116,C2084,天津,北京南,1178,1213,116
117,C2086,天津,北京南,1209,1244,117
118,C2088 +,天津,北京南,1219,1254,118
119,C2090,天津,北京南,1231,1266,119
120,C2092,天津,北京南,1254,1289,120
121,C2094,天津,北京南,1263,1298,121
122,C2096,天津,北京南,1287,1322,122
123,C2098,天津,北京南,1299,1334,123
124,C2100,天津,北京南,1313,1348,124
125,C2102,天津,北京南,1323,1358,125
126,C2106,天津,北京南,1353,1388,126
127,C2108,天津,北京南,1372,1407,127
128,C2202,天津,北京南,398,439,128
129,C2204,天津,北京南,420,461,129
130,C2206,天津,北京南,448,489,130
131,C2208,天津,北京南,464,505,131
132,C2210,天津,北京南,531,572,132
133,C2212,天津,北京南,552,593,133
134,C2214,天津,北京南,577,618,134
135,C2216,天津,北京南,614,655,135
136,C2218,天津,北京南,647,688,136
137,C2220,天津,北京南,700,741,137
138,C2222,天津,北京南,767,808,138
139,C2224,天津,北京南,830,871,139
140,C2226,天津,北京南,869,910,140
141,C2228,天津,北京南,893,934,141
142,C2230,天津,北京南,939,980,142
143,C2232,天津,北京南,969,1010,143
144,C2234,天津,北京南,993,1034,144
145,C2236,天津,北京南,1043,1084,145
146,C2238,天津,北京南,1067,1108,146
147,C2240,天津,北京南,1103,1144,147
148,C2242,天津,北京南,1139,1180,148
149,C2244,天津,北京南,1195,1236,149
150,C2246,天津,北京南,1271,1312,150
151,C2580,天津,北京南,1340,1375,151
152,C2584,天津,北京南,563,598,152
153,C2586,天津,北京南,745,780,153
154,C2588,天津,北京南,925,960,154
155,C2590,天津,北京南,1038,1073,155
156,C2594,天津,北京南,1246,1281,156
157,C2598,天津,北京南,1090,1125,157
158,C2614,天津,北京南,412,447,158
